"Date","Various bitcoin currency statistics"
"2011-09-19",341653.53
"2011-09-20",339001.207
"2011-09-21",414519.752
"2011-09-22",314771.655
"2011-09-23",241895.835
"2011-09-24",337969.88
"2011-09-25",238157.247
"2011-09-26",346174.178
"2011-09-27",370803.647
"2011-09-28",390599.568
"2011-09-29",348551.531
"2011-09-30",282245.873
"2011-10-01",310744.492
"2011-10-02",434779.881
"2011-10-03",389637.531
"2011-10-04",371051.092
"2011-10-05",453881.76
"2011-10-06",429374.467
"2011-10-07",466382.161
"2011-10-08",324504.731
"2011-10-09",312208.711
"2011-10-10",296865.68
"2011-10-11",333200.945
"2011-10-12",339241.229
"2011-10-13",306799.872
"2011-10-14",270082.897
"2011-10-15",402600.002
"2011-10-16",233069.9
"2011-10-17",451457.189
"2011-10-18",406424.715
"2011-10-19",274846.113
"2011-10-20",321171.851
"2011-10-21",446049.832
"2011-10-22",615136.935
"2011-10-23",557222.732
"2011-10-24",417449.301
"2011-10-25",354032.321
"2011-10-26",354289.434
"2011-10-27",616114.909
"2011-10-28",464194.278
"2011-10-29",467306.395
"2011-10-30",217988.154
"2011-10-31",226517.564
"2011-11-01",671779.714
"2011-11-02",403170.847
"2011-11-03",357650.878
"2011-11-04",346464.874
"2011-11-05",368120.792
"2011-11-06",242378.313
"2011-11-07",234510.825
"2011-11-08",864461.936
"2011-11-09",1193440.333
"2011-11-10",389487.38
"2011-11-11",333985.953
"2011-11-12",259102.756
"2011-11-13",275344.2
"2011-11-14",312461.389
"2011-11-15",385370.903
"2011-11-16",1877613.011
"2011-11-17",2858886.197
"2011-11-18",5136996.581
"2011-11-19",4105280.905
"2011-11-20",1958849.413
"2011-11-21",1796249.437
"2011-11-22",3512090.689
"2011-11-23",1556254.492
"2011-11-24",1481015.672
"2011-11-25",676349.732
"2011-11-26",2154058.364
"2011-11-27",1799564.621
"2011-11-28",3976959.62
"2011-11-29",3011316.727
"2011-11-30",5874122.084
"2011-12-01",3247186.586
"2011-12-02",4672086.59
"2011-12-03",4034195.819
"2011-12-04",3364466.296
"2011-12-05",2092723.786
"2011-12-06",7369513.047
"2011-12-07",5591453.634
"2011-12-08",4750151.416
"2011-12-09",2578945.791
"2011-12-10",1146907.377
"2011-12-11",908804.149
"2011-12-12",780887.058
"2011-12-13",415686.93
"2011-12-14",414644.022
"2011-12-15",460923.223
"2011-12-16",434633.624
"2011-12-17",427685.756
"2011-12-18",310832.271
"2011-12-19",456568.67
"2011-12-20",487765.091
"2011-12-21",608602.022
"2011-12-22",497996.019
"2011-12-23",293820.117
"2011-12-24",278028.547
"2011-12-25",316815.854
"2011-12-26",383673.998
"2011-12-27",982261.421
"2011-12-28",326037.959
"2011-12-29",451570.14
"2011-12-30",337122.489
"2011-12-31",288894.529
"2012-01-01",303512.408
"2012-01-02",295186.119
"2012-01-03",244250.938
"2012-01-04",338482.005
"2012-01-05",673601.095
"2012-01-06",622080.994
"2012-01-07",393041.112
"2012-01-08",330587.823
"2012-01-09",442394.952
"2012-01-10",375302.003
"2012-01-11",451444.266
"2012-01-12",311617.956
"2012-01-13",439298.715
"2012-01-14",368949.363
"2012-01-15",279850.692
"2012-01-16",406064.284
"2012-01-17",398498.285
"2012-01-18",448003.802
"2012-01-19",359155.567
"2012-01-20",391788.685
"2012-01-21",307719.919
"2012-01-22",303898.406
"2012-01-23",287869.463
"2012-01-24",321695.28
"2012-01-25",410275.474
"2012-01-26",443244.829
"2012-01-27",388447.881
"2012-01-28",272882.337
"2012-01-29",328587.84
"2012-01-30",340079.48
"2012-01-31",319873.153
"2012-02-01",413291.783
"2012-02-02",426235.607
"2012-02-03",365576.375
"2012-02-04",398931.841
"2012-02-05",347978.208
"2012-02-06",312114.629
"2012-02-07",335635.541
"2012-02-08",302182.065
"2012-02-09",275427.678
"2012-02-10",300669.729
